LivroID,Titulo,Tema,Disciplina,Curso,CursoID,IES,Disponibilidade,Situação,Detalhe,Categoria
281,PROGRAMAÇÃO I,Programação,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,199,
282,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,204,
283,Projeto de Banco de Dados Orientado a Objetos,Projeto de Banco de Dados Orientado a Objetos,PROJETO DE BANCO DE DADOS ORIENTADO A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Banco de Dados
284,Projeto de Banco de Dados Relacional,Projeto de Banco de Dados Relacional,PROJETO DE BANCO DE DADOS RELACIONAL,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Banco de Dados
285,PROJETO DE SISTEMAS,PROJETO DE SISTEMAS,PROJETOS DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,208,
286,PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,206,
287,Redes de Computadores,Redes de Computadores,REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Redes
288,REDES DE COMPUTADORES,REDES DE COMPUTADORES,Redes de Computadores,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Redes
289,REDES DE COMPUTADORES,REDES DE COMPUTADORES,REDES DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,210,
290,Segurança em Redes de Computadores,Segurança em Redes de Computadores,SEGURANÇA EM REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Redes
291,SERVIÇOS DE REDES DE COMPUTADORES ,SERVIÇOS DE REDES DE COMPUTADORES ,SERVIÇOS DE REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
292,Simuladores,Simuladores,LÓGICA DE PROGRAMAÇÃO ,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Flash,,
294,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,214,
295,SISTEMAS DE INFORMAÇÕES GERENCIAS,SISTEMAS DE INFORMAÇÕES GERENCIAS,SISTEMAS DE INFORMAÇÕES GERENCIAS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
299,Sistemas Operacionais,Sistemas Operacionais,SISTEMAS OPERACIONAIS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Md5Duplicado,229,
300,Sistemas Operacionais,Sistemas Operacionais,SISTEMAS OPERACIONAIS ,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
301,SISTEMAS OPERACIONAIS,SISTEMAS OPERACIONAIS,Sistemas Operacionais,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Sistemas
304,Sistemas Operacionais - Linux,Sistemas Operacionais,SISTEMAS OPERACIONAIS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Flash,,
305,Sistemas Operacionais - Windows,Sistemas Operacionais,SISTEMAS OPERACIONAIS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Flash,,
302,SISTEMAS OPERACIONAIS I,SISTEMAS OPERACIONAIS I,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,215,
303,SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,217,
311,TÉCNICAS DE PROGRAMAÇÃO AVANÇADA,TÉCNICAS DE PROGRAMAÇÃO AVANÇADA,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,225,
312,Técnicas de Programação II,Técnicas de Programação II,Técnicas de Programação II,COMPUTACAO,9,H,1,Selecionado para o Corpus,313,Programação
313,Técnicas de Programação II,Técnicas de Programação II,Técnicas de Programação II,COMPUTACAO,9,H,1,Edição Descartada,312,
314,TECNOLOGIAS DE DADOS PARA INTERNET ,TECNOLOGIAS DE DADOS PARA INTERNET ,TECNOLOGIAS DE DADOS PARA INTERNET,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
315,Tecnologias em Redes de Computadores,Tecnologias em Redes de Computadores,TECNOLOGIAS EM REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Redes
316,Teoria de Banco de Dados,Teoria de Banco de Dados,TEORIA DE BANCO DE DADOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Banco de Dados
