LivroID,Titulo,Tema,Disciplina,Curso,CursoID,IES,Disponibilidade,Situação,Detalhe,Categoria
235,Gerência de Projetos de Sistemas,Gerência de Projetos de Sistemas,GERÊNCIA DE PROJETOS DE SISTEMAS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Sistemas
236,Gerenciamento de Redes de Computadores,Gerenciamento de Redes de Computadores,GERENCIAMENTO DE REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Redes
237,Hardware de Computadores,Hardware de Computadores,HARDWARE DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Arquitetura
244,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Multidisciplinar,,
246,INTRODUÇÃO A COMPUTAÇÃO,INTRODUÇÃO A COMPUTAÇÃO,Introdução a Computação,COMPUTACAO,5,D,0,Indisponível,,
247,INTRODUÇÃO À COMPUTAÇÃO,INTRODUÇÃO À COMPUTAÇÃO,Introdução a Computação,CIENCIAS DA COMPUTACAO,12,K,1,Selecionado para o Corpus,,Arquitetura
248,INTRODUÇÃO À INFORMÁTICA,INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,INFORMATICA,1,A,1,Versão para Web,187,
250,Introdução à informática. v. único,TECNOLOGIA EM SISTEMAS DE COMPUTAÇÃO,INTRODUÇÃO A INFORMÁTICA,TECNOLOGIA EM SISTEMAS DE COMPUTACAO,8,G,1,Selecionado para o Corpus,,Arquitetura
251,Introdução aos Sistemas Operacionais,Sistemas Operacionais,Introdução aos Sistemas Operacionais,COMPUTACAO,10,I,1,Vídeos,,
252,Laboratório de Informática,Laboratório de Informática,Laboratório de Informática,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Arquitetura
268,Li_TecProg_Anima2_Listas,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,1,A,1,Flash,,
269,LI_TecProg_Anima3_Filas,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,1,A,1,Flash,,
270,LI_TecProg_Anima4_Pilha,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,1,A,1,Flash,,
254,Linguagem de Programação I,Linguagem de Programação,Linguagem de Programação I,COMPUTACAO,10,I,1,Selecionado para o Corpus,,Programação
255,Linguagem de Programação I,Linguagem de Programação,Linguagem de Programação I,COMPUTACAO,10,I,1,Vídeos,,
256,LINGUAGEM DE PROGRAMAÇÃO I,LINGUAGEM DE PROGRAMAÇÃO,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,193,
