LivroID,Titulo,Tema,Disciplina,Curso,IES
144,Estrutura de dados,Estrutura de dados,ESTRUTURA DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,B
145,Estrutura de Dados,Estrutura de Dados,Estrutura de Dados,COMPUTACAO,E
146,ESTRUTURA DE DADOS,ESTRUTURA DE DADOS,Estrutura de Dados,COMPUTACAO,D
147,Estrutura de Dados I,Estrutura de Dados I,Estrutura de Dados I,COMPUTACAO,H
148,Estrutura de Dados I,Estrutura de Dados I,Estrutura de Dados I,COMPUTACAO,H
149,Estrutura de Dados II,Estrutura de Dados II,Estrutura de Dados II,COMPUTACAO,H
150,Estrutura de Dados II,Estrutura de Dados II,Estrutura de Dados II,COMPUTACAO,H
151,Estrutura de SO,Sistemas Operacionais,Software Livre,TECNOLOGIAS E SISTEMAS DE INFORMACAO,F
154,Facísculo Sistemas Multimídia ,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,A
157,Fascículo Algoritmos,Algoritmos,Algoritmos,INFORMATICA,A
158,Fascículo Algoritmos,Algoritmos ,Algoritmos,INFORMATICA,A
159,Fascículo ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
160,Fascículo ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
161,Fascículo Aplicativos Computacionais,Aplicativos Computacionais,Sistemas Operacionais ,INFORMATICA,A
162,Fascículo Aplicativos Computacionais,Aplicativos Computacionais ,Sistemas Operacionais ,INFORMATICA,A
163,Fascículo AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
164,Fascículo AUDITORIA E SEGURANÇA DE SISTEMAS ,AUDITORIA E SEGURANÇA DE SISTEMAS ,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
165,Fascículo Banco de Dados ,Banco de Dados ,Banco de Dados,INFORMATICA,A
166,Fascículo BANCO DE DADOS I,BANCO DE DADOS I,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
167,Fascículo BANCO DE DADOS I ,BANCO DE DADOS I ,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
168,Fascículo BANCO DE DADOS II,BANCO DE DADOS II,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
169,Fascículo BANCO DE DADOS II ,BANCO DE DADOS II ,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
170,Fascículo da disciplina de Algoritmos,Algoritmos ,Algoritmos,INFORMATICA,A
171,Fascículo da Disciplina de Banco de Dados,Banco de Dados ,Banco de Dados,INFORMATICA,A
172,Fascículo da disciplina de Engenharia de Software,Engenharia de Software ,Engenharia de Software,INFORMATICA,A
173,Fascículo de Linguagem de Programação II ,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,A
174,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Engenharia de Software,INFORMATICA,A
175,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Engenharia de Software,INFORMATICA,A
176,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
177,Fascículo ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
180,Fascículo Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,INFORMATICA,A
181,Fascículo Fund. Sistemas de Informação,Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,INFORMATICA,A
184,Fascículo INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
185,Fascículo INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,A
186,Fascículo INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,Introdução a Informática,INFORMATICA,A
187,Fascículo INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,Introdução a Informática,INFORMATICA,A
191,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,A
192,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,A
